lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id,coordenadas
145,ahuacatlán,,21.04517,-104.54126,villa,,"(21.04517, -104.54126)"
146,ciudad de méxico,,19.419444444,-99.145555555,ciudad,,"(19.419444444, -99.145555555)"
147,atzalán,,19.82472,-97.44417,ciudad,,"(19.82472, -97.44417)"
148,santa maría nativitas,,19.57926,-99.609,pueblo,,"(19.57926, -99.609)"
149,izúcar,,18.60157,-98.46152,ciudad,,"(18.60157, -98.46152)"
150,ayutla,,16.96376,-99.09616,pueblo,,"(16.96376, -99.09616)"
151,colima,,19.13333,-103.9,villa,,"(19.13333, -103.9)"
152,zacatula,,16.77912,-99.09006,provincia,,"(16.77912, -99.09006)"
153,tlacoatzintepec,,17.85985,-96.58647,pueblo,,"(17.85985, -96.58647)"
154,habana,,22.61152,-102.15451,ciudad,,"(22.61152, -102.15451)"
155,mérida,,20.97,-89.62,ciudad,,"(20.97, -89.62)"
156,valladolid (morelia),,19.69589,-101.21764,ciudad,,"(19.69589, -101.21764)"
157,filipinas,,15.97167,-93.32833,isla,,"(15.97167, -93.32833)"
158,cihuatlán,,19.23828,-104.64728,villa,,"(19.23828, -104.64728)"
159,san juan de ulúa,,19.20889,-96.13106,ciudad,,"(19.20889, -96.13106)"
160,amozoc,,19.04611,-98.045,ciudad,,"(19.04611, -98.045)"
161,"san lorenzo, jurisdicción de guaxolotitlan",,None,None,pueblo,,"(None, None)"
162,compostela,,21.14787,-105.08989,ciudad,,"(21.14787, -105.08989)"
163,atoyac,,17.20667,-100.43306,villa,,"(17.20667, -100.43306)"
164,guachinango,,20.7,-104.433333333,real,,"(20.7, -104.433333333)"
165,manila,,27.71764,-103.8531,ciudad,,"(27.71764, -103.8531)"
166,acapulco,,16.8628695,-99.8870087,ciudad,,"(16.8628695, -99.8870087)"
167,santo domigo latani,,None,None,pueblo,,"(None, None)"
168,chietla,,18.50496,-98.62451,ciudad,,"(18.50496, -98.62451)"
169,santa maría yahuivé,,17.36469,-95.82531,pueblo,,"(17.36469, -95.82531)"
170,chacaltianguis,,18.30528,-95.84167,pueblo,,"(18.30528, -95.84167)"
171,san andrés chalchicomula,,19.00161,-97.49787,ciudad,,"(19.00161, -97.49787)"
172,tierra malenba,,None,None,region,,"(None, None)"
173,ahuacatitlan,aguacatitlan,18.70977,-100.28419,pueblo,,"(18.70977, -100.28419)"
174,chimaltitlán,,18.67076,-99.61125,villa,,"(18.67076, -99.61125)"
175,taxco,,18.55462,-99.60592,ciudad,,"(18.55462, -99.60592)"
176,acayucan,,17.94979,-94.91386,ciudad,,"(17.94979, -94.91386)"
177,brasil,,19.4153,-99.2139,region,,"(19.4153, -99.2139)"
178,san cristóbal de las casas,,16.737022222,-92.637563888,ciudad,,"(16.737022222, -92.637563888)"
179,huajupam,,None,None,pueblo,,"(None, None)"
180,huajuapan,,17.80787,-97.77956,pueblo,,"(17.80787, -97.77956)"
182,biafra,,3.0,8.33333,region,,"(3.0, 8.33333)"
183,san antonio de suchitepéquez,,14.53938,-91.41442,pueblo,,"(14.53938, -91.41442)"
