lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id
280,teocaltiche,,,,pueblo,
281,valle de caxitlan,,,,provincia,
282,china,,,,pais,
283,zibu,,,,ciudad,
288,india,,,,pais,
290,minas de guanajuato,,,,villa,
291,los angeles,,,,ciudad,
292,guanajuato,,,,region,
293,juchipila,,,,ciudad,
295,nochistlán,,,,ciudad,
296,villa de jeréz,,,,villa,
297,chametla,,,,real,
298,ameca,,,,villa,
299,culiacán,,,,villa,
300,zapotlán,,,,pueblo,
301,valle de aguacatitlan,,,,pueblo,
302,jicotlan,,,,pueblo,
303,jurisdicción de nieves,,,,region,
304,real de charcas,,,,villa,
305,zayula,,,,pueblo,
306,"real de minas de san juan de tepezalá, jurisdicción de aguascalientes",,,,real,
307,de san antonio tuscacuesco,,,,pueblo,
308,tangancícuaro,,,,villa,
309,irapuato,,,,villa,
310,zapopan,,,,villa,
311,ajijic,,,,villa,
312,jiquilpan,,,,villa,
313,sonora,,,,region,
314,tacámbaro,,,,villa,
315,jurisdicción de colimilla,,,,region,
316,villa purificación,,,,villa,
317,jalpa,,,,real,
318,"rancho de los molinos, jurisdicción de aguascalientes",,,,region,
319,jurisdicción de la barca,,,,region,
320,villa de sierra de pinos y charcas,,,,villa,
321,minas del rosario,,,,real,
322,tacotlán,,,,villa,
323,sentispac,,,,villa,
324,jacona,,,,pueblo,
325,hacienda de san andrés,,,,region,
327,jocotlán,,,,pueblo,
328,juanacatlán,,,,villa,
329,salvatierra,,,,ciudad,
